texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
unauthorised substance chlorpyrifos in tomatoes from Albania | fruits and vegetables | chlorpyrifos-methyl   - {pesticide residues} | Albania,INFO,fruits and vegetables,information notification for attention,undecided,Albania,2021,11,1
"Gusanos, arroz, Pakistán// Worms, rice, Pakistán | cereals and bakery products |  | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2021,11,1
poor temperature control (-3ºC) on frozen fish from Peru | fish and fish products |  | Peru,CRITIQUE,fish and fish products,border rejection notification,not serious,Peru,2021,11,1
"Presenza di aflatossine superiori ai limiti di legge su materia prima pistacchio//aflatoxins above the legal limits on pistachio raw material | nuts, nut products and seeds |  | Iran,Italy",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,"Iran,Italy",2021,11,1
"Salmonella Enteritidis and Salmonella group C2-C3 in official samples of chicken neck skins from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms},Salmonella group C  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
"Salmonella spp. in food supplement Organic ashwagandha in capsules | dietetic foods, food supplements and fortified foods | Salmonella Give  - {pathogenic micro-organisms} | Slovenia",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Slovenia,2021,11,1
"Ethylene oxide in curry leaf extract from India, via France | food additives and flavourings | ethylene oxide   - {pesticide residues} | Germany,India",INFO,food additives and flavourings,information notification for follow-up,undecided,"Germany,India",2021,11,0
cadmium in linseed | cereals and bakery products | cadmium   - {heavy metals} | France,CRITIQUE,cereals and bakery products,alert notification,serious,France,2021,11,1
Presence of mineral oil in raisins | fruits and vegetables | mineral oil   - {environmental pollutants} | Iran,INFO,fruits and vegetables,information notification for attention,not serious,Iran,2021,11,1
poor temperature control (between -16.7 and -8.1°C) of frozen squids (Loligo gahi) from Morocco | cephalopods and products thereof |  | Morocco,CRITIQUE,cephalopods and products thereof,border rejection notification,undecided,Morocco,2021,11,0
poor poor temperature control (between -7.5 and -12.3 °C) of frozen jumbo squid (Dosidicus gigas) from Chinacontrol - rupture of the cold chain - (between -7.5 and -12.3°C) of frozen jumbo squid (Dosidicus gigas) from China | cephalopods and products thereof |  | China,CRITIQUE,cephalopods and products thereof,border rejection notification,not serious,China,2021,11,0
Cadmium in horse meat from Romania | meat and meat products (other than poultry) | cadmium   - {heavy metals} | Romania,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Romania,2021,11,0
Salmonella enterica ser. Enteritidis in Bovine carcases from Germany | meat and meat products (other than poultry) | Salmonella Enteritidis  - {pathogenic micro-organisms} | Germany,INFO,meat and meat products (other than poultry),information notification for follow-up,undecided,Germany,2021,11,0
Salmonella spp. and enterobacteria in frozen ornamental fish food from Thailand | feed materials |  | Thailand,CRITIQUE,feed materials,border rejection notification,not serious,Thailand,2021,11,0
poor temperature control - rupture of the cold chain - of frozen pacific cod fillets (Gadus macrocephalus) from the United States | fish and fish products |  | United States,CRITIQUE,fish and fish products,border rejection notification,not serious,United States,2021,11,1
Milk traces in lactose free margarine | fats and oils |  | Portugal,CRITIQUE,fats and oils,alert notification,serious,Portugal,2021,11,0
"Salmonella Newport in poultry carcasses, elements of poultry meat, poultry offal from Poland | poultry meat and poultry meat products | Salmonella Newport  - {pathogenic micro-organisms} | Poland",INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2021,11,0
"Salmonella enterica ser. Enteritidis (in 1 out of 5 samples /25g) and Salmonella enterica ser. Infantis (in 2 out of 5 samples /25g) in chilled chicken meat from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms},Salmonella infantis  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2021,11,0
"aflatoxins in dried organic figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
possible presence of metal wires in chilled oat-based products from Sweden | other food product / mixed |  | Sweden,CRITIQUE,other food product / mixed,alert notification,undecided,Sweden,2021,11,0
"aflatoxins in organic dried figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
Salmonella enterica ser. Enteritidis (present /10g) in frozen chicken tulips from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | ,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,,2021,11,0
"Aflatoxins (B1 = 76.31; Tot. =  89.18 µg/kg - ppb) in dried organic figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"Especies vegetales no autorizadas(Moringa katuava), yerba mate, Paraguay// unauthorized plant species, yerba mate, Paraguay | herbs and spices |  | Paraguay",CRITIQUE,herbs and spices,border rejection notification,undecided,Paraguay,2021,11,1
"Poor hygienic state of pistachios from the United States | nuts, nut products and seeds |  | ",CRITIQUE,"nuts, nut products and seeds",border rejection notification,undecided,,2021,11,1
"Celery, egg, milk, lactose, soya and wheat undeclared on frozen vegetarian and vegan snacks from Netherlands | prepared dishes and snacks |  | Netherlands",CRITIQUE,prepared dishes and snacks,alert notification,serious,Netherlands,2021,11,0
"Aflatoxins in dried figs from Turkey  | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"Chlorpyrifos and omethoate in freeze-dried green asparagus pieces from China | other food product / mixed | chlorpyrifos   - {pesticide residues},clothianidin   - {pesticide residues},fenobucarb   - {pesticide residues},isocarbophos  unauthorised substance - {pesticide residues},isoprocarb  unauthorised substance - {pesticide residues},omethoate   - {pesticide residues},pyridaben   - {pesticide residues},thiamethoxam   - {pesticide residues} | China",CRITIQUE,other food product / mixed,alert notification,serious,China,2021,11,0
"unauthorised substances carbendazim and tricyclazole in aromatic chinigura rice from Bangladesh | cereals and bakery products | carbendazim   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | Bangladesh",CRITIQUE,cereals and bakery products,border rejection notification,undecided,Bangladesh,2021,11,1
Prezenta Salmonella enteritidis in pipote pui congelate din Polonia // Salmonella enteritidis in frozen chicken gizzards from Polonia | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2021,11,0
unauthorised substance tricyclazole in puffed rice from Bangladesh | cereals and bakery products | tricyclazole  unauthorised substance - {pesticide residues} | Bangladesh,CRITIQUE,cereals and bakery products,border rejection notification,undecided,Bangladesh,2021,11,1
Mercury in complementary feed for cats from Thailand | feed materials | mercury   - {heavy metals} | Thailand,INFO,feed materials,information notification for attention,no risk,Thailand,2021,11,0
acetamiprid in white grapes from Turkey | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2021,11,1
"unauthorised use of bamboo in melamine in children's tableware from China, via France | food contact materials |  | China",INFO,food contact materials,information notification for follow-up,not serious,China,2021,11,0
"Carbendazim e Triciclazolo in Rice from Bangladesh  | cereals and bakery products | carbendazim  unauthorised substance - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | Bangladesh",CRITIQUE,cereals and bakery products,border rejection notification,serious,Bangladesh,2021,11,1
aflatoxins in dried figs from Turkey | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"aflatoxins in shelled hazelnuts from Georgia | nuts, nut products and seeds | aflatoxin total  - {mycotoxins} | Georgia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Georgia,2021,11,1
Listeria monocytogenes in toba de porc din Romania/// Listeria monocytogenes in pig head cheese from Romania | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms} | Romania,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Romania,2021,11,0
aflatoxins in dried figs from Turkey | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"Aflatoxins in Turkish Organic Dried Figs | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"3-MCPD and glycidyl esters in sesame oil from China | fats and oils | 3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants} | China",CRITIQUE,fats and oils,alert notification,serious,China,2021,11,0
"S.typhimurium in turkey meat from Poland | poultry meat and poultry meat products | Salmonella typhimurium monophasic 4, 5:i  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2021,11,0
Recall and withdrawal of French cheeses following official confirmation of Brucella melitensis infection in a herd | milk and milk products |  | France,CRITIQUE,milk and milk products,alert notification,serious,France,2021,11,0
"Aflatoxin B1 in pistachios from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2021,11,1
"Unauthorised novel food (Epimedium pubescens) in food supplement from Portugal | dietetic foods, food supplements and fortified foods |  | Portugal",INFO,"dietetic foods, food supplements and fortified foods",information notification for follow-up,undecided,Portugal,2021,11,1
prohibited substance chloramphenicol in pork casings from China | meat and meat products (other than poultry) | chloramphenicol  prohibited substance - {residues of veterinary medicinal products} | China,CRITIQUE,meat and meat products (other than poultry),border rejection notification,serious,China,2021,11,0
Salmonella in black pepper from Brazil | other food product / mixed | Salmonella  enteritidis  - {pathogenic micro-organisms} | Brazil,CRITIQUE,other food product / mixed,border rejection notification,serious,Brazil,2021,11,0
heat treatment defect on foie gras from France | meat and meat products (other than poultry) |  | France,CRITIQUE,meat and meat products (other than poultry),information notification for attention,serious,France,2021,11,0
too high content of sulphite in frozen prawn tails from Thailand | crustaceans and products thereof | sulphite  too high content - {food additives and flavourings} | Thailand,INFO,crustaceans and products thereof,information notification for attention,not serious,Thailand,2021,11,0
Listeria monocytogenes on goat raw milk cheese from  France | milk and milk products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2021,11,0
" aflatoxins in dried figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
Salmonella in frozen salted chicken half breasts from Brazil | poultry meat and poultry meat products | Salmonella  enteritidis  - {pathogenic micro-organisms} | Brazil,CRITIQUE,poultry meat and poultry meat products,border rejection notification,serious,Brazil,2021,11,0
Salmonella Enteritidis in chicken neck skin samples from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
Insufficient cooking of chicken from Estonian establishment | poultry meat and poultry meat products |  | Estonia,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Estonia,2021,11,0
Chloorpyrifos-Methyl in grapefruit from Turkey | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,alert notification,undecided,Türkiye,2021,11,1
"phthalates migration from paper straws from China | food contact materials | phthalate DBP - dibutyl migration - {migration},phthalate DIBP - diisobutyl high content - {migration} | China",INFO,food contact materials,information notification for attention,undecided,China,2021,11,0
MOSH and MOAH in avocado oil from France | fats and oils | mineral oil   - {environmental pollutants} | France,CRITIQUE,fats and oils,alert notification,serious,France,2021,11,0
2-chloroethanol in raw material - Vitamin B12 from Spain | other food product / mixed | 2-chloroethanol   - {pesticide residues} | Spain,CRITIQUE,other food product / mixed,alert notification,serious,Spain,2021,11,0
Presence of ethylene oxide in ginseng root | herbs and spices | ethylene oxide   - {pesticide residues} | China,CRITIQUE,herbs and spices,alert notification,undecided,China,2021,11,1
Unauthorized use of bamboo in children's tableware from China | food contact materials |  | China,INFO,food contact materials,information notification for follow-up,not serious,China,2021,11,0
Allergen soy in gluten-free bread not declared | cereals and bakery products |  | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2021,11,1
Unauthorised substance chlorpyrifos in orange blossom from Morocco | herbs and spices | chlorpyrifos   - {pesticide residues} | Morocco,CRITIQUE,herbs and spices,border rejection notification,undecided,Morocco,2021,11,1
Salmonella enterica ser. Enteritidis in chilled chicken meat from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
Depasire LMA pesticid chlorpirifos in gapefruit origine Turcia/ unauthorised substance chlorpyrifos in grapefruits from Turkey | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Türkiye,INFO,fruits and vegetables,information notification for attention,undecided,Türkiye,2021,11,1
sunflower meal from Ukraine infested with moulds | feed materials | moulds  infested with - {non-pathogenic micro-organisms} | Ukraine,CRITIQUE,feed materials,border rejection notification,not serious,Ukraine,2021,11,0
Undeclaired ingredient in Herb salt from Sweden | herbs and spices |  | Sweden,CRITIQUE,herbs and spices,alert notification,serious,Sweden,2021,11,1
"increased content of ochratoxin A in dry figs used in production of rye bread | fruits and vegetables | ochratoxin A   - {mycotoxins} | Slovenia,Türkiye",CRITIQUE,fruits and vegetables,alert notification,serious,"Slovenia,Türkiye",2021,11,1
Salmonella enteritidis in pipote pui origine Polonia/// salmonella enteritidis in frozen chicken meat from Polonia | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2021,11,0
"Presence of tadalafil in food supplement from Portugal | dietetic foods, food supplements and fortified foods | tadalafil  unauthorised substance - {composition} | ",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,,2021,11,1
"clorpirifos in lamai proaspete origine Turcia / chlorpyriphos in fresh lemons from Turkey | fruits and vegetables | chlorpyrifos   - {pesticide residues},chlorpyrifos-methyl   - {pesticide residues} | Türkiye",INFO,fruits and vegetables,information notification for attention,undecided,Türkiye,2021,11,1
"Salmonella spp., Listeria and labelling deficiencies in minced meat from Bulgaria | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms},Salmonella spp.  - {pathogenic micro-organisms} | Bulgaria",INFO,meat and meat products (other than poultry),information notification for follow-up,undecided,Bulgaria,2021,11,0
Salmonella enterica ser. Indiana (in 1 out of 5 samples /25g) in frozen turkey brest fillets from Poland | meat and meat products (other than poultry) | Salmonella  enteritidis  - {pathogenic micro-organisms} | Poland,INFO,meat and meat products (other than poultry),information notification for follow-up,not serious,Poland,2021,11,0
"unauthorised substance ethylene oxide (sum of 2-CE and EO expressed as EO: 39 mg/kg - ppm mg/kg - ppm) in food supplements from Poland | dietetic foods, food supplements and fortified foods | ethylene oxide   - {pesticide residues} | China,Poland",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,"China,Poland",2021,11,1
Prezenta oxid de etilena in ingredient utilizat pentru inghetata /// The presence of ethylene oxide in the ingredient used in ice cream | ices and desserts | ethylene oxide   - {pesticide residues} | France,CRITIQUE,ices and desserts,alert notification,serious,France,2021,11,0
Presence of Salmonella Newport in frozen chicken meat from Netherlands origin Poland | poultry meat and poultry meat products | Salmonella Newport  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2021,11,0
"Poultry carcasses, elements of poultry meat, poultry offal - Salmonella enteritidis | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
"Aflatoxins in pistachios in shell from Turkey | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Türkiye,2021,11,1
Elevated Aflatoxin B1 in Spice Mix for Chapli Kebab | herbs and spices | Aflatoxin B1   - {mycotoxins} | Pakistan,CRITIQUE,herbs and spices,border rejection notification,serious,Pakistan,2021,11,1
"mercury in a recovery drink from France | dietetic foods, food supplements and fortified foods | mercury   - {heavy metals} | France",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,France,2021,11,1
Ethylene Oxide in organic cinnamon from Sri Lanka | herbs and spices | ethylene oxide   - {pesticide residues} | Sri Lanka,CRITIQUE,herbs and spices,information notification for attention,serious,Sri Lanka,2021,11,1
Non-declared allergen Celery in vegetable mix from Austria | prepared dishes and snacks |  | Austria,CRITIQUE,prepared dishes and snacks,alert notification,serious,Austria,2021,11,0
" Food supplement - Unauthorised substance yohimbine - united.states  | dietetic foods, food supplements and fortified foods |  | ",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,,2021,11,1
"Salmonella Infantis and Salmonella Enteritidis in chilled chicken meat from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms},Salmonella infantis  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
Histamine in tuna | fish and fish products |  | Sri Lanka,CRITIQUE,fish and fish products,information notification for attention,serious,Sri Lanka,2021,11,1
Unauthorized use of bamboo fiber in plastic kitchenware | food contact materials |  | unknown origin,INFO,food contact materials,information notification for follow-up,not serious,unknown origin,2021,11,0
Salmonella enteritidis in chicken breast from Poland  | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
"Chlorothalonil in dried basil from Egypt via Poland | herbs and spices | chlorothalonil   - {pesticide residues} | Egypt,Poland",CRITIQUE,herbs and spices,alert notification,undecided,"Egypt,Poland",2021,11,1
Unauthorised use of bamboo and maize powder in trays from China | food contact materials |  | China,INFO,food contact materials,information notification for follow-up,not serious,China,2021,11,0
Prochloraz in mandarina from Turkey  | fruits and vegetables | prochloraz   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2021,11,1
"Unsafe ingredient Withania somnifera in food supplement | dietetic foods, food supplements and fortified foods |  | United Kingdom",INFO,"dietetic foods, food supplements and fortified foods",information notification for follow-up,undecided,United Kingdom,2021,11,1
"unauthorised use of bamboo in melamine and bamboo fibres children's dinner sets offered online for sale | food contact materials | formaldehyde  migration - {migration},melamine  migration - {migration} | China",INFO,food contact materials,information notification for follow-up,not serious,China,2021,11,0
"2-Chloroethanol in food supplement from Germany | dietetic foods, food supplements and fortified foods | 2-chloroethanol   - {pesticide residues} | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Germany,2021,11,1
fresh poultry meat-Salmonella spp | poultry meat and poultry meat products | Salmonella spp.  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2021,11,0
"unauthorised substance ethylene oxide (sum of 2-CE and EO expressed as EO: 0.47-0.51 mg/kg - ppm) in food supplements from France | dietetic foods, food supplements and fortified foods | ethylene oxide   - {pesticide residues} | Croatia,United States",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,"Croatia,United States",2021,11,1
exceeding the maximum level (MRL) for pesticide residues - chlorpyrifos (0.048 + 0.024 mg / kg) in nectarines | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Italy,CRITIQUE,fruits and vegetables,information notification for attention,serious,Italy,2021,11,1
Pieces of blue plastic in Minced meat roast sliced from the Netherlands | meat and meat products (other than poultry) |  | Netherlands,CRITIQUE,meat and meat products (other than poultry),alert notification,undecided,Netherlands,2021,11,0
exceeding the MRL for dimethoate in mandarins | fruits and vegetables | dimethoate   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,information notification for attention,serious,Egypt,2021,11,1
Salmonella in Brazilian black pepper | herbs and spices | Salmonella  enteritidis  - {pathogenic micro-organisms} | Brazil,CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
No proper pasteurization of the chili con carne | other food product / mixed |  | Netherlands,CRITIQUE,other food product / mixed,alert notification,serious,Netherlands,2021,11,0
Histamine in Frozen Sardines (Sardina pilchardus) from The United Kingdom | fish and fish products | histamine   - {biological contaminants} | United Kingdom,CRITIQUE,fish and fish products,information notification for attention,serious,United Kingdom,2021,11,1
"Aflatoxins in roasted and salted pistachios from Turkey | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Türkiye,2021,11,1
Salmonella in Brazilian black pepper | herbs and spices | Salmonella  enteritidis  - {pathogenic micro-organisms} | Brazil,CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
rupture of the cold chain of precooked tuna loins from Cape Verde | fish and fish products |  | Cabo Verde,CRITIQUE,fish and fish products,border rejection notification,not serious,Cabo Verde,2021,11,1
unauthorised novel food ingredient kaffir lime (Citrus hystrix) in ginger ale and Indian tonic drinks from the United Kingdom | non-alcoholic beverages |  | United Kingdom,CRITIQUE,non-alcoholic beverages,border rejection notification,undecided,United Kingdom,2021,11,0
"perilla frutescens non autorizzata in prugne marinate e condimenti vegetali per sushi provenienti dal Giappone//perilla frutescens not allowed in marinated plums and vegetable condiments for sushi from Japan | soups, broths, sauces and condiments |  | Japan",CRITIQUE,"soups, broths, sauces and condiments",border rejection notification,not serious,Japan,2021,11,0
"Food supplements with garcinia cambogia from the UK | dietetic foods, food supplements and fortified foods |  | United Kingdom",INFO,"dietetic foods, food supplements and fortified foods",information notification for attention,undecided,United Kingdom,2021,11,1
undeclared sulphite in grilled bell pepper tapenade | other food product / mixed |  | Netherlands,CRITIQUE,other food product / mixed,alert notification,serious,Netherlands,2021,11,0
Imazalil in oranges from Morocco | fruits and vegetables | imazalil   - {pesticide residues} | Morocco,CRITIQUE,fruits and vegetables,information notification for attention,serious,Morocco,2021,11,1
"Aflatoxins in pistachios in shell from Turkey  | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Türkiye,2021,11,1
Migration of primary aromatic amines  | food contact materials | primary aromatic amines  migration - {migration} | China,CRITIQUE,food contact materials,alert notification,serious,China,2021,11,0
"Salmonella Typhimurium in frozen chicken wings and drumsticks from Hungary | poultry meat and poultry meat products | Salmonella typhimurium monophasic (4, 5:i:-)  - {pathogenic micro-organisms} | Hungary",CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Hungary,2021,11,0
"too high content of cadmium in organic cocoa powder  | cocoa and cocoa preparations, coffee and tea | cadmium   - {heavy metals} | Ecuador",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",information notification for attention,serious,Ecuador,2021,11,0
"THC in food supplement from Germany | dietetic foods, food supplements and fortified foods | tetrahydrocanabinol (THC)   - {biological contaminants} | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Germany,2021,11,1
presenza Listeria monocytogenes in carpaccio di pesce spada affumicato ///Listeria monocytogenes in smoked swordfish carpaccio | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Italy,CRITIQUE,fish and fish products,alert notification,serious,Italy,2021,11,1
"aflatoxin in Egyptian groundnuts | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Egypt",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Egypt,2021,11,1
"aflatoxin in USA groundnuts (FEED) | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2021,11,1
"foreign bodies (pieces of plastic) in baby food from Czech Republik | dietetic foods, food supplements and fortified foods |  | Czechia",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Czechia,2021,11,1
"Tropane alkaloids in organic corn flour | cereals and bakery products | atropine   - {natural toxins (other)},scopolamine   - {natural toxins (other)} | France",CRITIQUE,cereals and bakery products,alert notification,serious,France,2021,11,1
Too high content of chlorpyrifos in coriander leaves from Thailand | fruits and vegetables | chlorpyrifos-methyl   - {pesticide residues} | Thailand,INFO,fruits and vegetables,information notification for attention,undecided,Thailand,2021,11,1
undeclared eggs in sugar decorations | confectionery | egg  undeclared - {allergens} | Portugal,CRITIQUE,confectionery,alert notification,serious,Portugal,2021,11,0
"Salmonella Enteritidis and Salmonella Typhimurium in poultry meat from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms},Salmonella typhimurium  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2021,11,0
"Ethylene oxide (0,078 ± 0,039 mg/kg) in instant noodle soup from Ukraine | soups, broths, sauces and condiments | 2-chloroethanol   - {pesticide residues} | Ukraine",CRITIQUE,"soups, broths, sauces and condiments",border rejection notification,serious,Ukraine,2021,11,0
Salmonella Enteritidis in chicken meat from Poland | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2021,11,0
"Salmonella Minnesota, Salmonella Newport and Salmonella Abaetetuba in black pepper frpm Brasil | herbs and spices | Salmonella Minnesota  - {pathogenic micro-organisms},Salmonella Newport  - {pathogenic micro-organisms} | Brazil",CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
Salmonella enterica ser. Saintpaul (presence /25g) in black pepper from Brazil | herbs and spices | Salmonella Saintpaul  - {pathogenic micro-organisms} | Brazil,CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
Salmonella Minnesota in black pepper from Brazil | herbs and spices | Salmonella Minnesota  - {pathogenic micro-organisms} | Brazil,CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
Salmonella Münster in black pepper from Brasil | herbs and spices | Salmonella Münster  - {pathogenic micro-organisms} | Brazil,CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
"Salmonella Bovismorbificans and Salmonella II 42:r:- in black pepper from Brazil | herbs and spices | Salmonella bovismorbificans  - {pathogenic micro-organisms},Salmonella spp.  - {pathogenic micro-organisms} | Brazil",CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
"S. Poona and S. Morehead in black pepper from Brazil  | herbs and spices | Salmonella Morehead  - {pathogenic micro-organisms},Salmonella poona  - {pathogenic micro-organisms} | Brazil",CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
"Salmonella Albany, Salmonella Gaminara, Salmonella Poona, Salmonella Braenderup und Salmonella Madelia in black pepper from Brasil | herbs and spices | Salmonella Albany  - {pathogenic micro-organisms},Salmonella Braenderup  - {pathogenic micro-organisms},Salmonella gaminara  - {pathogenic micro-organisms},Salmonella poona  - {pathogenic micro-organisms} | Brazil",CRITIQUE,herbs and spices,border rejection notification,serious,Brazil,2021,11,1
